Drink,Ingredient,Amount,IngredientUse,Glass,HowToMix
Caprice,Dolin Dry Vermouth,1.5,Build,Coupe,Stir with ice and strain into a chilled coupe
Caprice,Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Caprice,Benedictine,0.5,Build,Coupe,Stir with ice and strain into a chilled coupe
Cavalier,Hine V.S.O.P. Cognac,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cavalier,House Orange Bitters,1dash,Build,Coupe,Shake with ice and strain into a chilled coupe
Cavalier,Bonne Maman Apricot Preserves,1barspoon,Build,Coupe,Shake with ice and strain into a chilled coupe
Cavalier,Lemon Peel,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Cavalier,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cavalier,Cointreau,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cavalier,Kassatly Chtaura Orgeat,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Champagne Cocktail,Moet Imperial Champagne,6.5oz,Build,Flute,Add champagne to chilled flute then drop in sugar cube soaked in bitters
Champagne Cocktail,Angostura Bitters,2dashes,Build,Flute,Add champagne to chilled flute then drop in sugar cube soaked in bitters
Champagne Cocktail,Lemon Twist,1,Garnish,Flute,Add champagne to chilled flute then drop in sugar cube soaked in bitters
Champagne Cocktail,Sugar Cube,1,Build,Flute,Add champagne to chilled flute then drop in sugar cube soaked in bitters
Champs-Elysees,Hine V.S.O.P. Cognac,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Champs-Elysees,Angostura Bitters,1dash,Build,Coupe,Shake with ice and strain into a chilled coupe
Champs-Elysees,Lemon Twist,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Champs-Elysees,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Champs-Elysees,Green Chartreuse,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Champs-Elysees,Simple Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cherry Pop,Plymouth Gin,2oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cherry Pop,Pitted Cherry,2,Muddle,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cherry Pop,Lemon Juice,1oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cherry Pop,Pitted Cherry,1,Garnish,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cherry Pop,Luxardo Maraschino Liqueur,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cherry Pop,Simple Syrup,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Chien Chaud,Liquiteria Coconut Water,2oz,Build,Fizz,Shake with ice and strain into a chilled fizz glass filled with ice
Chien Chaud,Angostura Bitters,2dashes,Build,Fizz,Shake with ice and strain into a chilled fizz glass filled with ice
Chien Chaud,J.M. Rhum Blanc,1.5oz,Build,Fizz,Shake with ice and strain into a chilled fizz glass filled with ice
Chien Chaud,Lime Wheel,1,Garnish,Fizz,Shake with ice and strain into a chilled fizz glass filled with ice
Chien Chaud,Yellow Chartreuse,.25oz,Build,Fizz,Shake with ice and strain into a chilled fizz glass filled with ice
Chrysanthemum,Dolin Dry Vermouth,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Chrysanthemum,House Orange Bitters,1dash,Build,Coupe,Stir with ice and strain into a chilled coupe
Chrysanthemum,Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Chrysanthemum,Benedictine,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Chrysanthemum,Vieux Pontarlier Absinthe,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Cinema Highball,Coca-Cola Classic,4.5oz,Build,Collins,Build in a chilled Collins glass filled with ice cubes
Cinema Highball,Popcorn-Infused Flor de Cana Silver Dry Rum,2oz,Build,Collins,Build in a chilled Collins glass filled with ice cubes
Cloister,Tanqueray Gin,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cloister,Grapefruit Twist,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Cloister,Grapefruit Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cloister,Yellow Chartreuse,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cloister,Lemon Juice,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cloister,Simple Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Clover Club,Plymouth Gin,2oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Clover Club,Bonne Maman Raspberry Preserves,1barspoon,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Clover Club,Egg White,1,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Clover Club,Lemon Juice,.75oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Clover Club,Simple Syrup,.5oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Coconut Colada,Flor de Cana Silver Dry Rum,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Coconut Colada,Ciaco Bella Coconut Sorbet,1scoop,Build,Coupe,Shake with ice and strain into a chilled coupe
Coconut Colada,Pineapple Juice,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Coconut Colada,Lime Wheel,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Coconut Colada,Lime Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Coda,Lime Juice,1oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Coda,Neisson Rhum Blanc,1oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Coda,Pampero Aniversario Rum,1oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Coda,Pinch Grated Nutmeg,1,Garnish,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Coda,Demerara Syrup,.5oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Coda,St. Elizabeth Allspice Dram,.5oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Coffee Cocktail,Martell V.S.O.P. Cognac,1.5oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Coffee Cocktail,Noval Black Port,1.5oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Coffee Cocktail,Pinch Grated Nutmeg,1,Garnish,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Coffee Cocktail,Whole Egg,1,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Coffee Cocktail,Simple Syrup,.25oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Condiment Cocktail,Partida Reposado Tequila,2oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Condiment Cocktail,The Bitter Truth Celery Bitters,2dashes,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Condiment Cocktail,Gulden's Spicy Brown Mustard,1/8 tsp,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Condiment Cocktail,Lime Twist,1,Garnish,Coupe,Shake with ice and fine-strain into a chilled coupe
Condiment Cocktail,Benedictine,.75oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Condiment Cocktail,Lime Juice,.5oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Condiment Cocktail,Lustau Palo Cortado Sherry,.5oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Conquistador,House Orange Bitters,2dashes,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Conquistador,Matusalem Gran Reserva Rum,1oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Conquistador,Siembra Azul Blanco Tequila,1oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Conquistador,Egg White,1,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Conquistador,Simple Syrup,.75oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Conquistador,Lemon Juice,.5oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Conquistador,Lime Juice,.5oz,Build,Egg Coupe,"Dry-shake, then shake with ice and strain into a chilled egg coupe"
Corpse Reviver No. 2,Cointreau,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Corpse Reviver No. 2,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Corpse Reviver No. 2,Lillet Blanc,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Corpse Reviver No. 2,Plymouth Gin,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Corpse Reviver No. 2,Vieux Pontarlier Absinthe,,Rinse,Coupe,Shake with ice and strain into a chilled coupe
Cosmopolitan,Hangar One Buddha's Hand Vodka,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cosmopolitan,Orange Twist,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Cosmopolitan,Cointreau,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cosmopolitan,Lime Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cosmopolitan,Lakewood Cranberry Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cosmopolitan,Simple Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cranberry Cobbler,Macerated Cranberry,4,Muddle,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Macerated Cranberry,3,Garnish,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Beefeater Gin,2oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Lemon Wedge,1,Muddle,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Mint Sprig,1,Garnish,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Orange Wheel,1,Muddle,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Lustau East India Sherry,.75oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Cranberry Cobbler,Cranberry Syrup,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with pebble ice
Crimson Tide,Lemon Hart Overproof Rum,1.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Crimson Tide,Spiced Sorrel,1.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Crimson Tide,Candied Ginger,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Crimson Tide,Lime Wheel,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Crimson Tide,Club Soda,.75oz,Top,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Crimson Tide,Lime Juice,.75oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Crimson Tide,Canton Ginger Liqueur,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Barsol Quebranta Pisco,2oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Grapefruit Twist,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Aperol,.75oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Simple Syrup,.75oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Grapefruit Juice,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Lemon Juice,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Cuzco,Clear Creek Kirschwasser,,Rinse,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
Daiquiri,Banks 5 Island Rum,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Daiquiri,Lime Wheel,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Daiquiri,Lime Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Daiquiri,Simple Syrup,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
De La Louisiane,Peychaud's Bitters,3dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
De La Louisiane,St. George Absinthe,3dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
De La Louisiane,Brandied Cherry,3,Garnish,Coupe,Stir with ice and strain into a chilled coupe
De La Louisiane,Wild Turkey Rye Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
De La Louisiane,Benedictine,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
De La Louisiane,Dolin Sweet Vermouth,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Death Bed,Pampero Aniversario Rum,1oz,Build,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Death Bed,Brandied Cherry,1,Garnish,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Death Bed,Lime Wheel,1,Garnish,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Death Bed,Barbancourt Rhum Blanc,.75oz,Build,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Death Bed,Cherry Heering,.75oz,Build,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Death Bed,Lime Juice,.75oz,Build,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Death Bed,Pineapple Juice,.5oz,Build,Collins,"Build in a chilled Collins glass, fill with pebble ice and swizzle, then add more ice"
Desert Rose,Rose-Infused Plymouth Gin,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Desert Rose,Pink Rose Petal,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Desert Rose,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Desert Rose,Perfect Purees of Napa Valley Prickly Pear Puree,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Desert Rose,Simple Syrup,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Deshler,Peychaud's Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Deshler,Dubonnet Rouge,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Deshler,Rittenhouse Bonded Rye Whiskey,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Deshler,Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Deshler,Cointreau,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dewey D.,Old Overholt Rye Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dewey D.,Angostura Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Dewey D.,Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Dewey D.,Lustau East India Sherry,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dewey D.,Aperol,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Diamondback,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Diamondback,Laird's Bonded Apple Brandy,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Diamondback,Yellow Chartreuse,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Donizetti,Tanqueray Gin,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Donizetti,Moet Imperial Champagne,1oz,Top,Coupe,Stir with ice and strain into a chilled coupe
Donizetti,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Donizetti,Amaro Ciociaro,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Donizetti,Rothman & Winter Orchard Apricot,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dry County Cocktail,George Dickel No. 12 Tennessee Whisky,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dry County Cocktail,The Bitter Truth Lemon Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Dry County Cocktail,Dolin Dry Vermouth,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dry County Cocktail,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Dry County Cocktail,Canton Ginger Liqueur,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Duboudreau Cocktail,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Duboudreau Cocktail,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Duboudreau Cocktail,Dubonnet Rouge,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Duboudreau Cocktail,Fernet Branca,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Duboudreau Cocktail,St. Germain Elderflower Liqueur,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Dulce de Leche,Don Julio Anejo Tequila,1.25oz,Build,Coupe,"Dry-shake, then shake with ice and strain into a chilled coupe"
Dulce de Leche,Grapefruit Twist,1,Build,Coupe,"Dry-shake, then shake with ice and strain into a chilled coupe"
Dulce de Leche,Pinch Grated Cinnamon,1,Garnish,Coupe,"Dry-shake, then shake with ice and strain into a chilled coupe"
Dulce de Leche,Whole Egg,1,Build,Coupe,"Dry-shake, then shake with ice and strain into a chilled coupe"
Dulce de Leche,Toro Albala Pedro Ximenez Sherry,.75oz,Build,Coupe,"Dry-shake, then shake with ice and strain into a chilled coupe"
Dulce de Leche,Heavy Cream,.5oz,Build,Coupe,"Dry-shake, then shake with ice and strain into a chilled coupe"
East India Cocktail,House Orange Bitters,2dashes,Build,Coupe,Shake with ice and strain into a chilled coupe
East India Cocktail,Martell V.S.O.P. Cognac,1.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East India Cocktail,Orange Twist,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
East India Cocktail,Marie Brizard Orange Curacao,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East India Cocktail,Pineapple Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East India Cocktail,Pampero Aniversario Rum,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East Village Athletic Club Cocktail,Siembra Azul Blanco Tequila,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East Village Athletic Club Cocktail,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East Village Athletic Club Cocktail,Grand Marnier,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
East Village Athletic Club Cocktail,Yellow Chartreuse,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Eclipse Cocktail,El Tesoro Anejo Tequila,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Eclipse Cocktail,Lemon Twist,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Eclipse Cocktail,Aperol,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Eclipse Cocktail,Cherry Heering,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Eclipse Cocktail,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Eclipse Cocktail,Del Maguey Vida Mezcal,,Rinse,Coupe,Shake with ice and strain into a chilled coupe
Edgewood,Grapefruit Juice,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Edgewood,Plymouth Gin,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Edgewood,Pinch Kosher Salt,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Edgewood,Lillet Blanc,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Edgewood,Punt e Mes,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
El Burro,House Ginger Beer,1oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Siembra Azul Reposado Tequila,1.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Candied Ginger,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Lime Wheel,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Lime Juice,.75oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Pineapple Juice,.75oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Simple Syrup,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Burro,Vieux Pontarlier Absinthe,.25oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
El Diablo,Siembra Azul Blanco Tequila,2oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
El Diablo,House Ginger Beer,1oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
El Diablo,Candied Ginger,1,Garnish,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
El Diablo,Lemon Wheel,1,Garnish,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
El Diablo,Lemon Juice,.75oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
El Diablo,Theurlet Creme de Cassis,.75oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
El Molino,Sombra Mezcal,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
El Molino,Lustau Palo Cortado Sherry,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
El Molino,Marie Brizard White Creme de Cacao,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
El Molino,St. Elizabeth Allspice Dram,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
El Puente,Jose Cuervo Platino Tequila,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
El Puente,Grapefruit Twist,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
El Puente,Grapefruit Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
El Puente,Martini Bianco Vermouth,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
El Puente,St. Germain Elderflower Liqueur,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
El Puente,Del Maguey Vida Mezcal,,Rinse,Coupe,Shake with ice and strain into a chilled coupe
Ephemeral,Ransom Old Tom Gin,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Ephemeral,Dolin Blanc Vermouth,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Ephemeral,The Bitter Truth Celery Bitters,1dash,Build,Coupe,Stir with ice and strain into a chilled coupe
Ephemeral,St. Germain Elderflower Liqueur,1barspoon,Build,Coupe,Stir with ice and strain into a chilled coupe
Ephemeral,Grapefruit Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Espresso Bongo,Appleton Estate Reserve Rum,2oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Espresso Bongo,Boiron Passion Fruit Puree,.5oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Espresso Bongo,Illy Espresso Liqueur,.5oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Espresso Bongo,Lime Juice,.5oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Espresso Bongo,Orange Juice,.5oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Espresso Bongo,Pineapple Juice,.5oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Espresso Bongo,Simple Syrup,.5oz,Build,Tiki Mug,Shake with ice and pour unstrained into a chilled tiki mug
Falling Leaves,Peychaud's Bitters,3dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Falling Leaves,Dr. Konstantin Frank Dry Riesling,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Falling Leaves,Clear Creek Pear Brandy,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Falling Leaves,Star Anise Pod,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Falling Leaves,Marie Brizard Orange Curacao,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Falling Leaves,Honey Syrup,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Field Cocktail,Pierre Ferrand Ambre Cognac,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Field Cocktail,Noilly Prat Dry Vermouth,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Field Cocktail,Pineapple Leaf,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Field Cocktail,Pineapple Juice,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Figetaboutit,Brandied Cherry,3,Garnish,Coupe,Shake with ice and fine-strain into a chilled coupe
Figetaboutit,Bulleit Bourbon,2oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Figetaboutit,Angostura Bitters,2dashes,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Figetaboutit,St. Dalfour Fig Jam,1barspoon,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Figetaboutit,Orange Twist,1,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Figetaboutit,Lemon Juice,.75oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Figetaboutit,Luxardo Amaretto,.25oz,Build,Coupe,Shake with ice and fine-strain into a chilled coupe
Fish House Punch,Gosling's Black Seal Rum,1.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Fish House Punch,Pinch Grated Nutmeg,1,Garnish,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Fish House Punch,Lemon Juice,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Fish House Punch,Mathilde Peche,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Fish House Punch,Pierre Ferrand Ambre Cognac,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Fish House Punch,Simple Syrup,.5oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Fish House Punch,Lime Juice,.25oz,Build,Rocks,Shake with ice and strain into a chilled rocks glass filled with ice
Flora Astoria,Lavender Tincture,4dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Flora Astoria,Hendrick's Gin,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Flora Astoria,John D. Taylor's Velvet Falernum,1barspoon,Build,Coupe,Stir with ice and strain into a chilled coupe
Flora Astoria,Dried Lavender Sprig,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Flora Astoria,Dolin Blanc Vermouth,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Flora Astoria,Dolin Dry Vermouth,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Flying Dutchman,Luxardo Maraschino Liqueur,1barspoon,Build,Coupe,Shake with ice and strain into a chilled coupe
Flying Dutchman,Brandied Cherry,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Flying Dutchman,Bols Genever,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Flying Dutchman,Clear Creek Plum Brandy,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Flying Dutchman,Creme Yvette,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Flying Dutchman,Lemon Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
